city,timestamp,temperature,season
New York,2010-01-01,-5.832823104971676,winter
New York,2010-01-02,-10.592220348234909,winter
New York,2010-01-03,4.672550761285235,winter
New York,2010-01-04,-2.412405377145284,winter
New York,2010-01-05,-1.4770698745532183,winter
New York,2010-01-06,2.3699537471611642,winter
New York,2010-01-07,4.718055040586831,winter
New York,2010-01-08,-4.574007775400459,winter
New York,2010-01-09,4.814887818915196,winter
New York,2010-01-10,6.2714892938418725,winter
New York,2010-01-11,4.798564166855955,winter
New York,2010-01-12,-0.08900589351597282,winter
New York,2010-01-13,2.8363949648880835,winter
New York,2010-01-14,4.096852740581353,winter
New York,2010-01-15,11.336823235995652,winter
New York,2010-01-16,-2.6613728457186303,winter
New York,2010-01-17,-2.547105720156706,winter
New York,2010-01-18,-7.952623285709667,winter
New York,2010-01-19,2.2376576783330417,winter
New York,2010-01-20,-7.179844628505904,winter
New York,2010-01-21,1.2755860643776438,winter
New York,2010-01-22,0.17091017046372275,winter
New York,2010-01-23,1.2009443038344583,winter
New York,2010-01-24,4.2174151271426465,winter
New York,2010-01-25,-1.6199038885127304,winter
New York,2010-01-26,3.6983300984309624,winter
New York,2010-01-27,9.656803847265106,winter
New York,2010-01-28,-0.4439513552669935,winter
New York,2010-01-29,1.6463620717105454,winter
New York,2010-01-30,-2.355753710743607,winter
New York,2010-01-31,4.2910186019800625,winter
New York,2010-02-01,-0.21824754028612167,winter
New York,2010-02-02,-4.091481936125426,winter
New York,2010-02-03,-3.6987093455922224,winter
New York,2010-02-04,4.72108827790871,winter
New York,2010-02-05,-19.142455747347295,winter
New York,2010-02-06,5.339579510312787,winter
New York,2010-02-07,-1.4247090201832113,winter
New York,2010-02-08,3.7197315727436893,winter
New York,2010-02-09,-2.7674521861351464,winter
New York,2010-02-10,3.4846347807966973,winter
New York,2010-02-11,-9.591060629471782,winter
New York,2010-02-12,-10.778589594282026,winter
New York,2010-02-13,0.9032317468331252,winter
New York,2010-02-14,-7.0046874575694105,winter
New York,2010-02-15,-4.0663068596571215,winter
New York,2010-02-16,-8.819402852842366,winter
New York,2010-02-17,5.1390328817940665,winter
New York,2010-02-18,-10.207591588834354,winter
New York,2010-02-19,1.6990593927885254,winter
New York,2010-02-20,2.3984145415075324,winter
New York,2010-02-21,-4.646424083685762,winter
New York,2010-02-22,-7.388929500234514,winter
New York,2010-02-23,-1.4839546887313726,winter
New York,2010-02-24,-2.2676354517818735,winter
New York,2010-02-25,10.555244347028305,winter
New York,2010-02-26,2.6541748823992424,winter
New York,2010-02-27,7.279959827015114,winter
New York,2010-02-28,11.27838990519443,winter
New York,2010-03-01,19.34591396346878,spring
New York,2010-03-02,7.915225828955961,spring
New York,2010-03-03,12.187024552101745,spring
New York,2010-03-04,14.485443897475294,spring
New York,2010-03-05,15.665045192633386,spring
New York,2010-03-06,12.096573582453225,spring
New York,2010-03-07,3.204268569343652,spring
New York,2010-03-08,6.7687890700498805,spring
New York,2010-03-09,13.183248587700843,spring
New York,2010-03-10,7.1865866162710645,spring
New York,2010-03-11,0.3075413702196066,spring
New York,2010-03-12,9.428537137920173,spring
New York,2010-03-13,2.589263280125696,spring
New York,2010-03-14,12.518761367971564,spring
New York,2010-03-15,9.151099336810475,spring
New York,2010-03-16,5.906533705683225,spring
New York,2010-03-17,13.379788460923242,spring
New York,2010-03-18,15.974159392701871,spring
New York,2010-03-19,17.394013193242223,spring
New York,2010-03-20,4.013017787364999,spring
New York,2010-03-21,15.986119155995473,spring
New York,2010-03-22,10.337167369332684,spring
New York,2010-03-23,18.26059506930121,spring
New York,2010-03-24,3.5697243709915885,spring
New York,2010-03-25,3.784049135460437,spring
New York,2010-03-26,15.851079760923273,spring
New York,2010-03-27,5.288723036938515,spring
New York,2010-03-28,7.661667720231805,spring
